Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],SNR,DR,Noise-Equivalent Delta T [K],Coverage [T/F]
2457954.634389219,0.001086294651,14,9.754403258559956,9.75530500928529,99.7282552434737,283.70027828064184,nan,False
2457954.70352671,0.001086294651,14,9.7593017076543,9.794179689636184,87.59236844289177,225.7908033712975,nan,False
2457954.77269541,0.001086294651,14,9.764081545440854,9.918921073268422,72.10687918996221,162.06688021199605,nan,False
2457955.612953487,0.001086294651,14,9.749152494246038,9.815113769340696,101.7907852803886,294.247223232743,nan,False
2457955.6821089336,0.001086294651,14,9.753789557704431,9.796186472976727,91.06573346063935,241.64324959552908,nan,False
2457955.751253569,0.001086294651,14,9.758623168325347,9.776018910630098,76.58503116158428,179.33696283582074,nan,False
2457956.5915039177,0.001086294651,14,9.744167417657208,10.051302360933173,102.89904166249234,299.99942912210474,nan,False
2457956.660690017,0.001086294651,14,9.748446461344395,9.77007025381714,94.26417729500766,256.75166437584835,nan,False
2457956.7298234934,0.001086294651,14,9.753213105503676,9.756537223673345,80.67372875796843,195.924430157151,nan,False
2457957.6392658786,0.001448392868,14,9.743324861152633,9.743455142597126,113.94492639198498,360.5920681931371,nan,False
2457957.708401312,0.001086294651,14,9.747910295117244,9.777409595383668,84.4571220633917,211.97530815301053,nan,False
2457957.7775773755,0.001086294651,14,9.752371223311536,9.966151795802878,68.40020455339067,148.4755340817096,nan,False
2457958.617832552,0.001086294651,14,9.738470801722327,9.77824836347544,99.29419607654441,281.5068688356199,nan,False
2457958.6869830075,0.001086294651,14,9.742772295435566,9.786250327328018,87.98578136234997,227.55741823539398,nan,False
2457958.756132148,0.001086294651,14,9.74724767271888,9.781413996807562,72.98419587134386,165.3767610761629,nan,False
2457959.5963862212,0.001086294651,14,9.73392243119232,9.96566254101779,100.6265148160851,288.26832562392553,nan,False
2457959.6655644933,0.001086294651,14,9.737853079362687,9.76580671325178,91.2503762652055,242.50210459311694,nan,False
2457959.734699537,0.001086294651,14,9.742226128214146,9.742687362026551,77.1649976093745,181.64207544540778,nan,False
2457960.6441416848,0.001086294651,14,9.733200990873128,9.735554282445259,94.15521172357091,256.22886821119175,nan,False
2457960.71327571,0.001086294651,14,9.737364078928842,9.760706989199365,81.02528992641503,197.3874026748773,nan,False
2457960.7824597475,0.001086294651,14,9.741408412068848,10.027324900939135,64.35515281169683,134.36340492064863,nan,False
2457961.6227105823,0.001086294651,14,9.728856989525037,9.750066392111199,96.51961825692865,267.70106571800227,nan,False
2457961.6918566846,0.001086294651,14,9.73271640217804,9.77562098918773,84.6226904682537,212.69320476710763,nan,False
2457961.7610109663,0.001086294651,14,9.736733726657953,9.795043790842485,69.0452991011839,150.79538618017605,nan,False
2457962.6012673276,0.001086294651,14,9.724853355904372,9.894541575952966,98.06850309467376,275.3622519935552,nan,False
2457962.670438384,0.001086294651,14,9.728333244347983,9.761969398209693,87.95928683831151,227.43821324339046,nan,False
