Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2457954.4136109999381006
All time is referenced to the Epoch.
Mission Duration [Days] is 16.0000000000000000
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,14,0.430199462920,0.003379583359,0.430199475959,-517.521861796869,-1022.011420476826,6985.643702308784,-7.482219434377,-0.096931555145,-0.568482030754
1,14,0.498207936063,0.002253055573,0.498207949102,-67.431152108553,-1014.229996612184,7005.595191622900,-7.501751455351,-0.174279086405,-0.097495895687
2,14,0.566191396676,0.003379583359,0.566191409715,399.074309632297,-1000.761867557060,6996.489471019248,-7.489934009581,-0.253359246170,0.390852477246
3,14,1.460440607276,0.003379583359,1.460440620314,-307.257893107602,-1024.772006511563,6997.642362114270,-7.490939740522,-0.259572941088,-0.366889863016
4,14,1.528422255535,0.003379583359,1.528422268573,160.274368009644,-1006.220511713409,7005.240244433456,-7.495727254734,-0.339386767309,0.122718800858
5,14,1.596435396466,0.003379583359,1.596435409505,606.763191294135,-983.330708623074,6984.017912740299,-7.469637536663,-0.414701394366,0.590468958842
6,14,2.422643924132,0.003379583359,2.422643937171,-527.377151400903,-1041.324048663278,6982.061479729769,-7.471027940293,-0.347022142342,-0.615928466176
7,14,2.490662941243,0.003379583359,2.490662954282,-84.747177181764,-1018.933004658511,7004.725347780593,-7.490867171794,-0.424111840513,-0.152250184558
8,14,2.558642872609,0.003379583359,2.558642885648,383.386122581953,-989.830442918303,6998.914519188074,-7.479855697539,-0.503306260023,0.338551779559
9,14,3.452891427092,0.003379583359,3.452891440131,-321.267037816913,-1038.121984532286,6995.056426442639,-7.475379932757,-0.509254663892,-0.418734664450
10,14,3.520877456293,0.003379583359,3.520877469331,142.497716644045,-1004.260043388512,7005.909627814366,-7.480947087048,-0.589014822948,0.067828423349
11,14,3.588880857453,0.003379583359,3.588880870491,594.389617223174,-965.996507058868,6987.496825595587,-7.455223337809,-0.664597426421,0.542331736499
12,14,4.415086403489,0.003379583359,4.415086416528,-535.166067596989,-1062.375917456896,6978.318005858010,-7.451273374390,-0.596644468157,-0.662005466286
13,14,4.483117463998,0.003379583359,4.483117477037,-101.442534927997,-1025.940035759213,7003.495352077042,-7.471258376189,-0.673421382065,-0.206667237182
14,14,4.551095452625,0.002253055573,4.551095465664,366.746207921416,-981.181551649513,7001.030924228894,-7.461096955526,-0.752724417508,0.285484097126
15,14,5.445340903942,0.003379583359,5.445340916980,-333.782251075707,-1053.504816068085,6992.195274635849,-7.451176428698,-0.758281000947,-0.469645221417
16,14,5.513332878705,0.003379583359,5.513332891744,124.687855279807,-1004.669296184135,7006.208506377268,-7.457444072094,-0.837967948725,0.012785104677
17,14,5.581328069791,0.003379583359,5.581328082830,580.447790849841,-950.770302275424,6990.767044922213,-7.432223194226,-0.913798672290,0.492983852997
18,14,6.475571321789,0.003379583359,6.475571334828,-117.259979315912,-1035.186908844451,7001.916121940704,-7.442957846812,-0.921908848769,-0.260618395981
19,14,6.543548945338,0.003379583359,6.543548958376,349.422220712487,-974.871389506470,7002.819403430020,-7.433664721208,-1.001317137070,0.231783414116
20,14,7.437788885552,0.003379583359,7.437788898591,-344.584937368483,-1070.790256150644,6989.083525917303,-7.418377284707,-1.006360295375,-0.519515198222
21,14,7.505788353272,0.003379583359,7.505788366310,107.099714529508,-1007.434128216264,7006.134163704990,-7.425245002755,-1.085943953538,-0.042291009318
22,14,7.573776885867,0.003379583359,7.573776898906,565.170414305434,-937.758299728638,6993.800128207283,-7.400642896107,-1.162012727114,0.442527894377
23,14,8.468024358153,0.003379583359,8.468024371192,-131.964528270690,-1046.589352023838,7000.001123108978,-7.406011154268,-1.169275588551,-0.313993010891
24,14,8.536003194284,0.003379583359,8.536003207322,331.661769713012,-970.935818436696,7004.264506837158,-7.397580325151,-1.248783682456,0.177560320037
25,14,8.604027500842,0.003379583359,8.604027513880,764.779070861749,-895.126040780490,6980.403215884028,-7.360004402527,-1.318835662520,0.637569296646
26,14,9.430235198233,0.003379583359,9.430235211272,-353.452602734578,-1089.826812656995,6985.748999089748,-7.377042772149,-1.253207627322,-0.568224288539
27,14,9.498243697453,0.003379583359,9.498243710492,89.994207944773,-1012.516848926376,7005.687141899255,-7.384390034128,-1.332643374522,-0.097270951294
28,14,9.566227131989,0.003379583359,9.566227145027,548.812400532813,-927.043357439670,6996.568745743032,-7.360498857182,-1.408947647353,0.391084587475
29,14,10.460476390552,0.003379583359,10.460476403590,-145.311551011111,-1060.039831572059,6997.767341673800,-7.360476871029,-1.415229193135,-0.366663114517
30,14,10.528458029963,0.003379583359,10.528458043002,313.721682853578,-969.387867409598,7005.353384947615,-7.352877893599,-1.494824612377,0.122934476954
31,14,10.596471101511,0.003379583359,10.596471114550,751.333184965758,-877.696700801984,6984.116824437799,-7.315464844543,-1.565204596586,0.590720290420
32,14,11.422679698560,0.003379583359,11.422679711599,-360.193403904534,-1110.446816182638,6982.220257318005,-7.327243094251,-1.498540078731,-0.615673295769
33,14,11.490698754787,0.003379583359,11.490698767826,73.611531800337,-1019.860410159971,7004.871034445490,-7.334932924801,-1.577766547405,-0.152043602930
34,14,11.558678642847,0.003379583359,11.558678655885,531.627087810927,-918.686915677931,6999.048420185598,-7.311820436689,-1.654309512726,0.338769388260
35,14,12.452927266713,0.003379583359,12.452927279752,-157.084399550731,-1075.413381924843,6995.233745610814,-7.306425456241,-1.659478578776,-0.418521748683
36,14,12.520913282875,0.003379583359,12.520913295913,295.857915722576,-970.218368625472,7006.076243367507,-7.299604901472,-1.739141415876,0.068025679930
