Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2457954.4136109999381006
All time is referenced to the Epoch.
Mission Duration [Days] is 16.0000000000000000
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,14,0.223657854367,0.003379583359,0.223657867406,-1016.726453961534,240.632380011504,7001.423466982377,-0.113118455020,7.498545402172,-0.274192693800
1,14,0.291635634378,0.003379583359,0.291635647416,-1007.154015822607,-229.732247039856,7003.177834557374,-0.193069356786,7.498749086779,0.218104829868
2,14,1.185873827431,0.003379583359,1.185873840470,-1027.758088376755,469.423014261981,6988.198873624919,-0.199863344690,7.482860075967,-0.531995499083
3,14,1.253875394352,0.003379583359,1.253875407390,-1013.582093202740,14.922293470606,7005.996309178019,-0.278064793191,7.499046134479,-0.056219309019
4,14,1.321862531826,0.003379583359,1.321862544864,-993.731489406603,-448.919047309045,6994.466971427019,-0.356514087687,7.483614666780,0.429574524998
5,14,2.216110642999,0.002253055573,2.216110656038,-1026.885752544571,256.315507645052,6999.385727779208,-0.363033156491,7.488467458338,-0.327405126498
6,14,2.284090039786,0.002253055573,2.284090052824,-1001.752459096823,-212.402347249222,7004.493675247859,-0.442980994496,7.489534208193,0.163768516837
7,14,2.352111442946,0.003379583359,2.352111455984,-973.020620373891,-653.087963855459,6981.280558076411,-0.517001480901,7.460378451491,0.625794563606
8,14,3.178319670726,0.003379583359,3.178319683764,-1046.091621638960,479.982845721821,6984.772644095652,-0.449744896794,7.468389180610,-0.580395422861
9,14,3.246330647264,0.003379583359,3.246330660302,-1017.214718637747,32.409142335130,7005.415785615654,-0.527734850635,7.485000765274,-0.111145990362
10,14,3.314313077834,0.003379583359,3.314313090872,-981.728698208009,-433.623613166185,6997.123915310723,-0.606333768422,7.470321370355,0.377918513434
11,14,4.208562366664,0.003379583359,4.208562379703,-1039.214405055128,270.825264604175,6997.035135204486,-0.612472148612,7.469702505578,-0.379876358248
12,14,4.276544953696,0.003379583359,4.276544966735,-998.708177879999,-194.693509543248,7005.451186879293,-0.692408448226,7.471594053210,0.109077855793
13,14,4.344555499963,0.003379583359,4.344555513002,-954.634516572614,-641.312119823862,6984.910687613386,-0.766727943950,7.442678289080,0.578625970253
14,14,5.170763662551,0.003379583359,5.170763675589,-1066.207183909951,488.570732785183,6981.160655957354,-0.699036396825,7.445343042141,-0.627513630145
15,14,5.238785561174,0.003379583359,5.238785574213,-1023.166511144642,49.381276155019,7004.468948319868,-0.776766719471,7.462233333755,-0.165834498358
16,14,5.306764853653,0.003379583359,5.306764866691,-971.992960701667,-417.280408921028,6999.487934083056,-0.855510274723,7.448368588043,0.325409348573
17,14,6.201012873556,0.003379583359,6.201012886595,-1053.608066259273,283.933719715152,6994.391931892028,-0.861138798293,7.442289127105,-0.431499603390
18,14,6.269000232685,0.003379583359,6.269000245724,-998.037076403399,-176.844608072554,7006.042328776041,-0.941046994302,7.444944283486,0.054135111772
19,14,6.337001434527,0.003379583359,6.337001447566,-938.330869831277,-627.871074679899,6988.355088216947,-1.015642313734,7.416421335258,0.530161545162
20,14,7.231239940505,0.003379583359,7.231239953544,-1031.379389814515,65.572065618544,7003.164263078571,-1.024862413100,7.430778561849,-0.220147183448
21,14,7.299217681400,0.003379583359,7.299217694439,-964.587909451507,-400.148092477703,7001.537784706858,-1.103747087310,7.417765816770,0.272171569541
22,14,8.193462002557,0.002253055573,8.193462015595,-1069.941998952636,295.414941105834,6991.479118998844,-1.108741195674,7.406278318208,-0.482162221189
23,14,8.261455694214,0.003379583359,8.261455707252,-999.731083994494,-159.119488355486,7006.261680246386,-1.188596126180,7.409613269705,-0.000930776982
24,14,8.329449072946,0.003379583359,8.329449085984,-924.219691182485,-613.013541292453,6991.582516978462,-1.263456575632,7.381614554366,0.480521187135
25,14,9.223693628795,0.003379583359,9.223693641834,-1041.775682196398,80.745218004808,7001.512821089396,-1.271722779365,7.390684173385,-0.273973225356
26,14,9.291671395767,0.003379583359,9.291671408806,-959.555693527795,-382.480045854039,7003.255429018652,-1.350745562424,7.378536062750,0.218321526236
27,14,10.185909588821,0.003379583359,10.185909601860,-1088.071283208864,305.050174839386,6988.322276928001,-1.354992335845,7.361732899424,-0.531749580202
28,14,10.253911168780,0.003379583359,10.253911181819,-1003.760545073172,-141.771592755298,7006.107146373486,-1.434755398556,7.365643122539,-0.055999720814
29,14,10.321898267139,0.003379583359,10.321898280177,-912.391926749073,-596.977608781491,6994.565012081821,-1.509878396911,7.338278345446,0.429807913325
30,14,11.216146443505,0.003379583359,11.216146456543,-1054.254163406398,94.654478143603,6999.529205605450,-1.517054810437,7.342010886588,-0.327184447862
31,14,11.284125827253,0.003379583359,11.284125840291,-956.915953200666,-364.533501554044,7004.625610883132,-1.596207380664,7.330715330245,0.163978670800
32,14,11.352147152182,0.003379583359,11.352147165220,-860.349247251402,-795.512467363549,6981.398083706665,-1.664835069878,7.290472420835,0.626044334033
33,14,12.178355484270,0.003379583359,12.178355497308,-1107.833905902301,312.642328807910,6984.948472641530,-1.599608603494,7.308726361779,-0.580158997594
34,14,12.246366486885,0.003379583359,12.246366499923,-1010.073951083382,-125.050722728029,7005.579785943793,-1.679226582236,7.313089311834,-0.110951720113
35,14,12.314348865300,0.003379583359,12.314348878339,-902.917517470423,-580.008078082644,6997.276541102952,-1.754614581868,7.286445057117,0.378127672676
36,14,13.208598228171,0.003379583359,13.208598241210,-1068.695735208535,107.078559623951,6997.230299749284,-1.760567198015,7.284831647361,-0.379670812909
37,14,13.276580806356,0.003379583359,13.276580819394,-956.666095378346,-346.565166997700,7005.636080682491,-1.839835026544,7.274352894871,0.109262626431
38,14,13.344591261353,0.003379583359,13.344591274392,-844.021865944636,-781.037321037645,6985.082316927971,-1.908796017746,7.234301422537,0.578851723742
39,14,14.170799541287,0.003379583359,14.170799554326,-1129.050681822767,318.006790006323,6981.386637655035,-1.842311968758,7.247342710718,-0.627288724059
40,14,14.238821465988,0.002253055573,14.238821479026,-1018.596122065946,-109.209555926563,7004.683992406591,-1.921715823474,7.252020326646,-0.165658105773
41,14,14.306800702121,0.003379583359,14.306800715160,-895.843189271552,-562.360958354715,6999.692950994402,-1.997372661091,7.226158759932,0.325595928701
42,14,15.201048804447,0.003379583359,15.201048817486,-1084.958498903436,117.792178922070,6994.636383268300,-2.001975937532,7.219231546008,-0.431307939636
43,14,15.269036163576,0.003379583359,15.269036176614,-958.781463536521,-328.829560576301,7006.277665590354,-2.081332674108,7.209511309726,0.054293097089
44,14,15.337037269957,0.002253055573,15.337037282996,-830.009730305335,-765.237587807527,6988.578967460469,-2.150626980927,7.169806200000,0.530355976940
45,15,0.086779754609,0.003379583359,0.086779767647,-1019.311920401359,583.659028579062,6980.823664435651,-0.043385413363,7.477663754567,-0.631536394456
46,15,0.154802600853,0.003379583359,0.154802613892,-1014.967601422161,143.011350293387,7004.353592203526,-0.119246591650,7.501523318563,-0.170509560419
47,15,0.222781710792,0.003379583359,0.222781723831,-1004.924360288403,-326.462213276582,6999.658209841135,-0.198926485899,7.494899945042,0.320862980768
