Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],SNR,DR,Noise-Equivalent Delta T [K],Coverage [T/F]
2458636.072330384,0.004023313522,0,29.946751863611784,29.946751863612036,565.5539638741781,16012.539353429305,nan,True
2458636.141056898,0.0030174851419999997,0,29.946751863630418,29.946751863643346,489.8591221235146,12018.064748448764,nan,True
2458636.209783412,0.0030174851419999997,0,29.946751863558084,29.946751863562053,490.04757749488573,12027.298207965061,nan,True
2458636.2785099144,0.004023313522,0,29.946751863509697,29.94675186350984,566.1796483620425,16047.94481668316,nan,True
2458636.3472364284,0.004023313522,0,29.946751863485055,29.94675186348652,566.3795292893873,16059.263683142379,nan,True
2458636.4159629424,0.0030174851419999997,0,29.946751863485947,29.946751863494075,490.57623752012637,12053.2191097898,nan,True
2458636.4846894564,0.0030174851419999997,0,29.94675186343314,29.946751863434724,490.75732169404745,12062.104333000156,nan,True
2458636.553415959,0.004023313522,0,29.94675186340567,29.946751863405787,566.9962201124544,16094.210858280192,nan,True
2458636.622142473,0.0030174851419999997,0,29.946751863445847,29.946751863459685,491.1072171068673,12079.281874909275,nan,True
2458636.690868987,0.0030174851419999997,0,29.946751863389977,29.94675186339445,491.2915802350116,12088.33780540315,nan,True
2458636.759595489,0.004023313522,0,29.946751863359914,29.946751863360188,567.598892516438,16128.400369039033,nan,True
2458636.828322003,0.004023313522,0,29.94675186335565,29.94675186335684,567.8025458553842,16139.961801459023,nan,True
2458636.897048517,0.0030174851419999997,0,29.946751863384243,29.94675186339313,491.8053771283642,12113.593482292488,nan,True
2458636.965775031,0.0030174851419999997,0,29.946751863353175,29.94675186335509,491.98278870672283,12122.320276549246,nan,True
2458637.0345015335,0.004023313522,0,29.94675186334767,29.946751863347735,568.416244390571,16174.826645108507,nan,True
2458637.1032280475,0.0030174851419999997,0,29.946751863417212,29.94675186343196,492.3299141668236,12139.40432282727,nan,True
2458637.1719545615,0.0030174851419999997,0,29.94675186338471,29.946751863389725,492.4909360235716,12147.333228357438,nan,True
2458637.240681064,0.004023313522,0,29.946751863378474,29.946751863378854,568.998628882695,16207.947334684108,nan,True
2458637.309407578,0.004023313522,0,29.946751863397687,29.946751863398653,569.1947758390166,16219.110010229666,nan,True
2458637.378134092,0.0030174851419999997,0,29.946751863454523,29.946751863464154,493.00131310757564,12172.48192918755,nan,True
2458637.446860606,0.0030174851419999997,0,29.94675186344569,29.946751863447922,493.1700511731152,12180.802183975096,nan,True
2458637.515587108,0.004023313522,0,29.946751863461962,29.946751863461966,569.7733358989484,16252.058133054388,nan,True
2458637.584313622,0.0030174851419999997,0,29.946751863558358,29.946751863574107,493.51195596909093,12197.669794754658,nan,True
2458637.653040136,0.0030174851419999997,0,29.946751863545067,29.94675186355068,493.67042185457325,12205.491552182786,nan,True
2458637.7217666386,0.004023313522,0,29.94675186355677,29.94675186355737,570.3418151691797,16284.46477336637,nan,True
2458637.7904931526,0.004023313522,0,29.946751863592258,29.946751863592972,570.5397004584901,16295.752973779303,nan,True
2458637.8592196666,0.0030174851419999997,0,29.946751863670674,29.94675186368108,494.16821698475235,12230.078681042965,nan,True
2458637.9279461806,0.0030174851419999997,0,29.946751863674432,29.946751863677022,494.33491749896376,12238.317902030929,nan,True
2458637.996672683,0.004023313522,0,29.946751863668307,29.946751863668315,571.1095268748685,16328.28011695623,nan,True
2458638.065399197,0.0030174851419999997,0,29.946751863702595,29.946751863719328,494.65399685937757,12254.096241490417,nan,True
2458638.134125711,0.0030174851419999997,0,29.946751863619994,29.946751863626183,494.8296653788628,12262.787321049786,nan,True
2458638.2028522133,0.004023313522,0,29.94675186356227,29.946751863563048,571.6768430611119,16360.696225629456,nan,True
2458638.2715787273,0.004023313522,0,29.946751863527478,29.94675186352804,571.8717967037923,16371.843190880347,nan,True
2458638.3403052413,0.0030174851419999997,0,29.946751863541813,29.94675186355305,495.3021005989783,12286.176038883632,nan,True
2458638.4090317553,0.0030174851419999997,0,29.946751863478195,29.946751863481246,495.4596913967043,12293.982806548236,nan,True
2458638.4777582576,0.004023313522,0,29.946751863439452,29.946751863439466,572.4089676763026,16402.576957099132,nan,True
2458638.5464847717,0.0030174851419999997,0,29.946751863492338,29.946751863510112,495.777716195977,12309.74475195302,nan,True
2458638.6152112857,0.0030174851419999997,0,29.946751863424733,29.94675186343154,495.9260609200337,12317.100472453874,nan,True
2458638.6839377903,0.004023313522,0,29.94675186338653,29.946751863386556,572.9575139959888,16433.991332012258,nan,True
2458638.7526643043,0.0030174851419999997,0,29.94675186343802,29.946751863453557,496.24174432635624,12332.761059178702,nan,True
2458638.8213908183,0.0030174851419999997,0,29.94675186338289,29.94675186338837,496.41162262504923,12341.192594524462,nan,True
2458638.8901173207,0.004023313522,0,29.946751863353175,29.94675186335371,573.4997064393359,16465.07139992245,nan,True
2458638.9588438347,0.004023313522,0,29.94675186335027,29.94675186335104,573.6632591058568,16474.452491820077,nan,True
2458639.0275703487,0.0030174851419999997,0,29.94675186338905,29.946751863399278,496.87216406687435,12364.065071653062,nan,True
2458639.0962968627,0.0030174851419999997,0,29.946751863358326,29.94675186336087,497.0166651306389,12371.245990025298,nan,True
