Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2458636.0688940808176994
All time is referenced to the Epoch.
Mission Duration [Days] is 5.0000000000000000
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,0,0.044672212098,0.003017485142,0.044672223739,-0.005206746233,0.001106728076,7081.136999991248,7.338744759776,-1.559898353112,0.000005639970
1,0,0.113398726098,0.003017485142,0.113398737740,-0.003123439802,0.000663907624,7081.136999993028,7.338744759777,-1.559898353112,0.000003383325
2,0,0.182125228457,0.004023313522,0.182125251740,-0.001040133364,0.000221087171,7081.136999994214,7.338744759777,-1.559898353112,0.000001126680
3,0,0.250851742458,0.004023313522,0.250851765741,0.001043173055,-0.000221733278,7081.136999994837,7.338744759777,-1.559898353112,-0.000001129965
4,0,0.319578256458,0.003017485142,0.319578268100,-0.004245313078,0.000902369151,7081.136999994264,7.338744759775,-1.559898353112,0.000004598541
5,0,0.388304770458,0.003017485142,0.388304782100,-0.002162006635,0.000459548696,7081.136999995987,7.338744759776,-1.559898353112,0.000002341896
6,0,0.457031272817,0.004023313522,0.457031296100,-0.000078700233,0.000016728251,7081.136999997114,7.338744759776,-1.559898353112,0.000000085251
7,0,0.525757786818,0.003017485142,0.525757798459,-0.005367186367,0.001140830680,7081.136999995826,7.338744759773,-1.559898353111,0.000005813756
8,0,0.594484300818,0.003017485142,0.594484312460,-0.003283879917,0.000698010224,7081.136999998012,7.338744759774,-1.559898353112,0.000003557111
9,0,0.663210803177,0.004023313522,0.663210826460,-0.001200573566,0.000255189789,7081.136999999580,7.338744759775,-1.559898353112,0.000001300466
10,0,0.731937317178,0.004023313522,0.731937340461,0.000882732947,-0.000187630680,7081.136999999349,7.338744759775,-1.559898353112,-0.000000956179
11,0,0.800663831178,0.003017485142,0.800663842820,-0.004405753236,0.000936471759,7081.136999997100,7.338744759774,-1.559898353111,0.000004772328
12,0,0.869390345179,0.003017485142,0.869390356820,-0.002322446831,0.000493651313,7081.136999997278,7.338744759775,-1.559898353112,0.000002515684
13,0,0.938116847537,0.004023313522,0.938116870821,-0.000239140416,0.000050830864,7081.136999996862,7.338744759776,-1.559898353112,0.000000259040
14,0,1.006843361538,0.003017485142,1.006843373179,-0.005527626503,0.001174933283,7081.136999993839,7.338744759774,-1.559898353111,0.000005987547
15,0,1.075569875538,0.003017485142,1.075569887180,-0.003444320125,0.000732112843,7081.136999994497,7.338744759776,-1.559898353112,0.000003730903
16,0,1.144296377897,0.004023313522,1.144296401180,-0.001361013726,0.000289292397,7081.136999994562,7.338744759777,-1.559898353112,0.000001474259
17,0,1.213022891898,0.004023313522,1.213022915181,0.000722292788,-0.000153528072,7081.136999994071,7.338744759778,-1.559898353112,-0.000000782385
18,0,1.281749405898,0.003017485142,1.281749417540,-0.004566193299,0.000970574347,7081.136999992044,7.338744759776,-1.559898353112,0.000004946121
19,0,1.350475919899,0.003017485142,1.350475931540,-0.002482886904,0.000527753903,7081.136999992667,7.338744759778,-1.559898353112,0.000002689477
20,0,1.419202422258,0.004023313522,1.419202445541,-0.000399580519,0.000084933461,7081.136999992723,7.338744759778,-1.559898353112,0.000000432833
21,0,1.487928936258,0.003017485142,1.487928947899,-0.005688066605,0.001209035880,7081.136999990043,7.338744759776,-1.559898353112,0.000006161339
22,0,1.556655450258,0.003017485142,1.556655461900,-0.003604760095,0.000766215411,7081.136999991239,7.338744759778,-1.559898353112,0.000003904694
23,0,1.625381952617,0.004023313522,1.625381975900,-0.001521453820,0.000323394992,7081.136999991905,7.338744759778,-1.559898353112,0.000001648050
24,0,1.694108466618,0.004023313522,1.694108489901,0.000561852581,-0.000119425453,7081.136999992004,7.338744759779,-1.559898353112,-0.000000608594
25,0,1.762834980618,0.003017485142,1.762834992260,-0.004726633620,0.001004676990,7081.136999990420,7.338744759777,-1.559898353112,0.000005119912
26,0,1.831561494619,0.003017485142,1.831561506260,-0.002643327139,0.000561856528,7081.136999991654,7.338744759778,-1.559898353112,0.000002863267
27,0,1.900287996978,0.004023313522,1.900288020261,-0.000560020607,0.000119036054,7081.136999992355,7.338744759778,-1.559898353112,0.000000606622
28,0,1.969014510978,0.004023313522,1.969014534261,0.001523285669,-0.000323784365,7081.136999992500,7.338744759778,-1.559898353112,-0.000001650022
29,0,2.037741024978,0.003017485142,2.037741036620,-0.003765200291,0.000800318027,7081.136999991998,7.338744759777,-1.559898353112,0.000004078483
30,0,2.106467538979,0.003017485142,2.106467550620,-0.001681893928,0.000357497590,7081.136999993265,7.338744759778,-1.559898353112,0.000001821838
31,0,2.175194041338,0.004023313522,2.175194064621,0.000401412350,-0.000085322829,7081.136999993972,7.338744759778,-1.559898353112,-0.000000434806
32,0,2.243920555338,0.003017485142,2.243920566980,-0.004887073722,0.001038779587,7081.136999992821,7.338744759775,-1.559898353112,0.000005293699
33,0,2.312647069339,0.003017485142,2.312647080980,-0.002803767413,0.000595959161,7081.136999994650,7.338744759776,-1.559898353112,0.000003037054
34,0,2.381373571698,0.004023313522,2.381373594981,-0.000720460717,0.000153138652,7081.136999995892,7.338744759777,-1.559898353112,0.000000780409
35,0,2.450100085698,0.004023313522,2.450100108981,0.001362845573,-0.000289681770,7081.136999996555,7.338744759776,-1.559898353112,-0.000001476236
36,0,2.518826599699,0.003017485142,2.518826611340,-0.003925640530,0.000834420653,7081.136999996375,7.338744759775,-1.559898353112,0.000004252269
37,0,2.587553113699,0.003017485142,2.587553125340,-0.001842334012,0.000391600183,7081.136999998096,7.338744759775,-1.559898353112,0.000001995624
38,0,2.656279616058,0.004023313522,2.656279639341,0.000240972291,-0.000051220242,7081.136999999216,7.338744759775,-1.559898353112,-0.000000261021
39,0,2.725006130058,0.003017485142,2.725006141700,-0.005047513788,0.001072882175,7081.136999998002,7.338744759773,-1.559898353111,0.000005467484
40,0,2.793732644059,0.003017485142,2.793732655700,-0.002964207091,0.000630061667,7081.136999998344,7.338744759774,-1.559898353112,0.000003210840
41,0,2.862459146418,0.004023313522,2.862459169701,-0.000880900790,0.000187241243,7081.136999998064,7.338744759775,-1.559898353112,0.000000954196
42,0,2.931185660418,0.004023313522,2.931185683701,0.001202405932,-0.000255579271,7081.136999997178,7.338744759776,-1.559898353112,-0.000001302448
43,0,2.999912174419,0.003017485142,2.999912186060,-0.004086080375,0.000868523195,7081.136999995255,7.338744759775,-1.559898353112,0.000004426059
44,0,3.068638688419,0.003017485142,3.068638700061,-0.002002774071,0.000425702770,7081.136999995446,7.338744759776,-1.559898353112,0.000002169415
45,0,3.137365190778,0.004023313522,3.137365214061,0.000080532618,-0.000017117737,7081.136999995056,7.338744759777,-1.559898353112,-0.000000087229
46,0,3.206091704778,0.003017485142,3.206091716420,-0.005207954074,0.001106984811,7081.136999992411,7.338744759775,-1.559898353112,0.000005641278
47,0,3.274818218779,0.003017485142,3.274818230420,-0.003124647354,0.000664164298,7081.136999993121,7.338744759777,-1.559898353112,0.000003384633
48,0,3.343544721138,0.004023313522,3.343544744421,-0.001041340664,0.000221343791,7081.136999993276,7.338744759778,-1.559898353112,0.000001127989
49,0,3.412271235138,0.004023313522,3.412271258421,0.001041965668,-0.000221476640,7081.136999992838,7.338744759778,-1.559898353112,-0.000001128655
50,0,3.480997749139,0.003017485142,3.480997760780,-0.004246520654,0.000902625829,7081.136999991249,7.338744759777,-1.559898353112,0.000004599851
51,0,3.549724263139,0.003017485142,3.549724274781,-0.002163214359,0.000459805406,7081.136999991979,7.338744759778,-1.559898353112,0.000002343207
52,0,3.618450765498,0.004023313522,3.618450788781,-0.000079907676,0.000016984900,7081.136999992138,7.338744759779,-1.559898353112,0.000000086563
53,0,3.687177279498,0.003017485142,3.687177291140,-0.005368393996,0.001141087369,7081.136999989898,7.338744759776,-1.559898353112,0.000005815069
54,0,3.755903793499,0.003017485142,3.755903805140,-0.003285087660,0.000698266937,7081.136999991233,7.338744759778,-1.559898353112,0.000003558424
55,0,3.824630295858,0.004023313522,3.824630319141,-0.001201780964,0.000255446429,7081.136999991995,7.338744759778,-1.559898353112,0.000001301779
56,0,3.893356809858,0.004023313522,3.893356833141,0.000881525560,-0.000187374042,7081.136999992218,7.338744759778,-1.559898353112,-0.000000954865
