POI index,Gaps [Days],Max Coverage Gap [Days],Mean Coverage Gap [Days],Time Average Gap [Days],Percentage Coverage
2,[0.29358111],0.293581108096987,0.293581108096987,0.08618986703145477,3.259628935185185e-05
3,[0.29359017],0.29359016800299287,0.29359016800299287,0.08619518674802558,3.259628935185185e-05
4,[0.31627235],0.31627235328778625,0.31627235328778625,0.10002820145419428,3.143213657407407e-05
5,[0.29358816],0.2935881628654897,0.2935881628654897,0.08619400937473332,3.143213657407407e-05
6,[0.29358996],0.29358995566144586,0.29358995566144586,0.08619506206528975,3.0267983796296296e-05
7,[0.69153382],0.6915338197723031,0.6915338197723031,0.4782190238888722,3.143213657407407e-05
8,[0.02267925 0.29359189],0.29359188862144947,0.15813557081855834,0.08671054558165824,4.6566128472222214e-05
9,[0.31626811],0.31626811204478145,0.31626811204478145,0.10002551869637043,3.259628935185185e-05
10,[0.7142177],0.7142176954075694,0.7142176954075694,0.5101069164332996,3.259628935185185e-05
11,[0.31627601],0.3162760082632303,0.3162760082632303,0.10003051340292293,3.259628935185185e-05
12,[0.29358105],0.2935810498893261,0.2935810498893261,0.08618983285411898,3.143213657407407e-05
13,[0.29358512],0.2935851248912513,0.2935851248912513,0.08619222555741164,3.0267983796296296e-05
14,,,,,1.5133991898148148e-05
17,,,,,1.5133991898148148e-05
18,,,,,1.6298144675925925e-05
19,,,,,1.6298144675925925e-05
20,,,,,1.6298144675925925e-05
21,[0.58283949],0.582839485257864,0.582839485257864,0.33970186557565185,3.259628935185185e-05
22,[0.58284507],0.582845073658973,0.582845073658973,0.33970837988853364,3.259628935185185e-05
23,,,,,1.6298144675925925e-05
24,,,,,1.6298144675925925e-05
25,,,,,1.6298144675925925e-05
26,,,,,1.6298144675925925e-05
30,,,,,1.6298144675925925e-05
31,[0.40227271],0.4022727054543793,0.4022727054543793,0.16182332955358583,3.259628935185185e-05
32,,,,,1.6298144675925925e-05
33,,,,,1.6298144675925925e-05
34,,,,,1.5133991898148148e-05
35,,,,,1.6298144675925925e-05
36,,,,,1.6298144675925925e-05
37,,,,,1.6298144675925925e-05
38,,,,,1.5133991898148148e-05
41,,,,,1.5133991898148148e-05
42,,,,,1.5133991898148148e-05
45,,,,,1.6298144675925925e-05
47,,,,,1.5133991898148148e-05
48,,,,,1.5133991898148148e-05
49,,,,,1.6298144675925925e-05
51,,,,,1.6298144675925925e-05
52,,,,,1.6298144675925925e-05
55,,,,,1.6298144675925925e-05
57,,,,,1.6298144675925925e-05
58,,,,,1.6298144675925925e-05
60,,,,,1.6298144675925925e-05
61,,,,,1.6298144675925925e-05
63,,,,,1.6298144675925925e-05
64,,,,,1.5133991898148148e-05
67,,,,,1.5133991898148148e-05
72,,,,,1.5133991898148148e-05
73,,,,,1.6298144675925925e-05
74,,,,,1.6298144675925925e-05
75,,,,,1.5133991898148148e-05
78,,,,,1.5133991898148148e-05
80,,,,,1.6298144675925925e-05
81,,,,,1.6298144675925925e-05
82,,,,,1.6298144675925925e-05
85,,,,,1.6298144675925925e-05
86,,,,,1.6298144675925925e-05
87,,,,,1.6298144675925925e-05
92,,,,,1.6298144675925925e-05
93,,,,,1.6298144675925925e-05
94,,,,,1.6298144675925925e-05
98,,,,,1.6298144675925925e-05
100,,,,,1.6298144675925925e-05
102,,,,,1.6298144675925925e-05
105,,,,,1.5133991898148148e-05
107,,,,,1.5133991898148148e-05
108,,,,,1.5133991898148148e-05
109,,,,,1.6298144675925925e-05
127,,,,,1.5133991898148148e-05
128,,,,,1.5133991898148148e-05
129,,,,,1.5133991898148148e-05
130,,,,,1.6298144675925925e-05
131,,,,,1.6298144675925925e-05
142,,,,,1.5133991898148148e-05
143,,,,,1.5133991898148148e-05
144,,,,,1.5133991898148148e-05
145,,,,,1.5133991898148148e-05
146,,,,,1.6298144675925925e-05
147,,,,,1.6298144675925925e-05
148,,,,,1.5133991898148148e-05
149,,,,,1.6298144675925925e-05
150,,,,,1.5133991898148148e-05
151,,,,,1.6298144675925925e-05
152,,,,,1.5133991898148148e-05
157,,,,,1.5133991898148148e-05
158,[0.49515251],0.4951525079086423,0.4951525079086423,0.24517600608821807,3.143213657407407e-05
163,[0.49515234],0.4951523435302079,0.4951523435302079,0.245175843303457,3.259628935185185e-05
169,,,,,1.6298144675925925e-05
170,,,,,1.5133991898148148e-05
174,,,,,1.6298144675925925e-05
178,,,,,1.5133991898148148e-05
180,,,,,1.6298144675925925e-05
183,,,,,1.6298144675925925e-05
184,,,,,1.5133991898148148e-05
185,,,,,1.6298144675925925e-05
189,,,,,1.5133991898148148e-05
191,[0.49514387],0.49514386616647243,0.49514386616647243,0.24516744820228156,3.259628935185185e-05
196,[0.49514389],0.4951438889838755,0.4951438889838755,0.24516747079807644,3.259628935185185e-05
