Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2458562.344745371
All time is referenced to the Epoch.
Mission Duration [Days] is 1
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,2,0.683539303,0.014081597,0.683539384,1661.879704589,205.065352982,6879.441904157,6.327855862,-3.775984197,-1.415621742
1,3,0.816719041,0.014081597,0.816719122,-733.184804623,1540.865926036,6871.495278672,6.530479676,-3.395785210,1.458350506
2,4,0.340042256,0.014081597,0.340042338,1716.653578428,162.787516944,6867.107220756,6.289299617,-3.815001531,-1.481329779
3,5,0.473225021,0.013075769,0.473225091,-666.945785568,1514.982795545,6883.986960380,6.517166333,-3.449364885,1.390590987
4,8,0.168293056,0.014081597,0.168293137,-1742.521027011,-142.488152452,-6862.782903597,-6.268568594,3.833330351,1.512497296
5,10,0.855287337,0.014081597,0.855287418,-1632.973608148,-227.011123124,-6887.395928205,-6.345632163,3.755312629,1.381204958
6,11,0.988469636,0.014081597,0.988469718,764.857917140,-1552.992753124,-6867.235950603,-6.535296781,3.368485813,-1.489569081
7,12,0.511794342,0.014081597,0.511794423,-1690.292312201,-183.720035644,-6874.850742910,-6.306799109,3.794710592,1.449670010
8,13,0.644971437,0.013075769,0.644971507,700.793775478,-1528.738209497,-6879.504443271,-6.522167658,3.421593475,-1.424651730
9,18,0.676338626,0.014081597,0.676338708,-2339.275227726,2342.883987834,6258.448711756,6.082103269,-2.854220309,3.341632589
10,21,0.401481905,0.014081597,0.401481986,-2317.802451631,2348.980704164,6264.152854021,6.073010125,-2.887445433,3.329598981
11,22,0.892707256,0.014081597,0.892707338,3225.318037874,-759.707283108,6257.230788623,5.624057547,-3.672658894,-3.344090045
12,24,0.126625951,0.014081597,0.126626033,-2295.914915676,2354.725505284,6270.056564351,6.063889655,-2.920813872,3.317087453
13,26,0.033678398,0.014081597,0.033678480,-3193.505084585,793.345772437,-6270.949191186,-5.580975700,3.757782956,3.318254728
14,31,0.583388300,0.014081597,0.583388382,-3179.837807732,749.277103247,-6283.284811401,-5.629623748,3.708051915,3.291956109
15,31,0.985661168,0.014081597,0.985661249,2306.215966811,-2309.643780141,-6285.100156996,-6.115221601,2.840639442,-3.287950890
16,34,0.308533732,0.013075769,0.308533802,-3186.925808121,771.391606567,-6277.023479996,-5.605250986,3.732970197,3.305337583
17,36,0.055161871,0.014081597,0.055161952,-3641.665956906,2970.029687102,5296.028840935,5.266758167,-2.215901379,4.863611333
18,38,0.483065306,0.013075769,0.483065376,4402.579338512,-1606.877547060,5307.563923691,4.605995911,-3.401216823,-4.849269090
19,41,0.742356146,0.013075769,0.742356216,-3675.151842168,2926.249252217,5297.247586759,5.293607582,-2.154349009,4.862141816
20,52,0.105143609,0.014081597,0.105143690,-4404.110483827,1644.233459534,-5296.272904489,-4.569801356,3.425589764,4.864572610
21,55,0.364427557,0.014081597,0.364427639,3643.603434125,-2945.237588227,-5310.755324328,-5.288129505,2.196161694,-4.846614356
22,57,0.792338001,0.014081597,0.792338082,-4424.364295282,1592.927478141,-5295.032725626,-4.608713647,3.370925428,4.866096734
23,73,0.348315914,0.014081597,0.348315996,5322.765273951,-2352.172939311,4034.011043142,3.325266121,-2.892191500,-6.072361745
24,80,0.464789034,0.014081597,0.464789115,-4765.234663354,3356.071607484,4020.161683228,4.179155464,-1.354117888,6.082996632
25,82,0.898071509,0.014081597,0.898071590,5345.495620208,-2302.382863340,4032.725730494,3.351162243,-2.860074183,-6.073303109
26,92,0.361737157,0.014081597,0.361737239,4749.199817255,-3361.581223735,-4037.012857943,-4.189130125,1.370598400,-6.070565955
27,94,0.795028354,0.014081597,0.795028436,-5350.538993246,2319.482116477,-4017.288024295,-3.328800584,2.858394069,6.085575223
28,105,0.245272843,0.013075769,0.245272913,-5327.728418889,2369.369686542,-4018.536913506,-3.302845171,2.890259322,6.084632360
29,129,0.118504805,0.013075769,0.118504874,-5560.490522275,3599.338986201,2502.134466985,2.821771603,-0.464645526,6.936902725
30,131,0.041802225,0.014081597,0.041802307,-5915.520379509,2982.372878727,-2501.259974337,-1.823290345,2.199398588,6.937346328
31,144,0.454085856,0.013075769,0.454085926,-5931.510408082,2934.453867382,-2519.948217176,-1.856798007,2.195316655,6.929768385
32,147,0.316658129,0.014081597,0.316658211,-5926.253391733,2950.468172847,-2513.626451035,-1.845535775,2.196674560,6.932339189
33,150,0.179230263,0.013075769,0.179230333,-5920.922482904,2966.440362840,-2507.399787132,-1.834369258,2.198036293,6.934863945
34,170,0.834705986,0.013075769,0.834706055,6201.248453352,-3307.944020383,864.031832573,0.293070622,-1.377515636,-7.369175237
35,178,0.493800619,0.013075769,0.493800689,6061.170860550,-3560.548492596,-855.648651680,-1.318377711,-0.474942514,-7.370293886
36,183,0.287622148,0.014081597,0.287622230,6050.887098568,-3581.145738617,-842.277395423,-1.307734435,-0.477561034,-7.372032945
37,191,0.456785068,0.014081597,0.456785150,-6180.069413404,3351.434603328,-845.774536391,-0.265256844,1.369215440,7.372066217
38,196,0.250606562,0.014081597,0.250606644,-6167.675099699,3370.825199981,-859.185709259,-0.272997597,1.377031465,7.370314486
