Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],Sigma NEZ Nought [dB],Incidence angle [deg],Swath-width [km],Coverage [T/F]
2458643.4650329514,2.614711225033,98,4.903949276177738,22.10598160773041,-22.295283818185013,25.357250689531387,94.89140456300923,True
2458645.4742904725,2.594675123692,98,4.903974612745651,23.35430437687867,-22.669197077468894,23.914304283132882,94.88632803117689,True
2458646.6486642994,2.5245487689969996,98,4.903859648587771,28.088538208867703,-23.803586132458,19.697004012087113,94.9093635049484,True
2458647.4835473928,2.57463902235,98,4.9040008159757305,24.750141435573006,-23.044173196200273,22.489128623984637,94.88107795832856,True
2458648.6579198493,2.5546029210089998,98,4.903880642701807,26.324859589925783,-23.419435055877823,21.077290526142157,94.90515673909977,True
2458649.4928037333,2.544584870338,98,4.9040277997573,26.31531952664743,-23.423678515253282,21.085296290959764,94.87567160783011,True
2458650.667176074,2.56462097168,98,4.903902850802212,24.756856366878598,-23.040712213744442,22.482695086818293,94.90070679251237,True
2458651.502059494,2.5245487689969996,98,4.904055475017618,28.07579243696561,-23.808634802134343,19.70631602853901,94.87012683528468,True
2458652.6764326463,2.594675123692,98,4.903926192603521,23.358674779125376,-22.666529488566542,23.909550706642257,94.89602976475618,True
2458654.6856899145,2.6247292757030003,98,4.903950613020566,22.10824089248959,-22.296023836939813,25.35447583456738,94.89113670552001,True
2458640.4163751933,2.604693174362,99,4.903907943363336,23.0679896912903,-22.58308596806692,24.230038963351294,94.89968638192848,True
2458642.4256323455,2.57463902235,99,4.903931533238308,24.429666079195627,-22.957115236079765,22.80064589187544,94.89495966676446,True
2458643.600004918,2.544584870338,99,4.903826323889581,26.699757831370704,-23.50322599980606,20.767545376547258,94.91604119596514,True
2458644.434888802,2.5546029210089998,99,4.903956129802375,25.955548555328004,-23.338151000835342,21.391828050276597,94.89003133450346,True
2458645.6092609107,2.57463902235,99,4.903845116227651,25.09082010902118,-23.1233582520129,22.1674355148686,94.91227551604928,True
2458646.4441446997,2.534566819668,99,4.903981651903351,27.670613235710704,-23.721766918767464,20.0071024479108,94.88491765657221,True
2458647.618517483,2.594675123692,99,4.903865233278678,23.65695739088607,-22.74820255392292,23.58966695223492,94.90824444701855,True
2458649.6277746563,2.614711225033,99,4.903886614423135,22.375454955768905,-22.376923313209712,25.030671431063944,94.90396014817833,True
2458651.6370323882,2.6447653770449997,99,4.903909196765327,21.227107171231903,-22.008792329449932,26.486855096011354,94.89943523492695,True
2458640.5513458634,2.56462097168,100,4.903797090295641,25.43299765879212,-23.20637007315625,21.853711935613056,94.92189924531145,True
2458641.3862298843,2.534566819668,100,4.903914262111736,27.27576250880652,-23.63265425913422,20.309397747557234,94.89842028248532,True
2458642.560602341,2.584657073021,100,4.90381349872632,23.962431539043653,-22.83020129038642,23.271100978433793,94.91861118284464,True
2458644.569859377,2.614711225033,100,4.903831333146852,22.648933580816266,-22.458093401321708,24.708038121251374,94.91503741655045,True
2458646.579116993,2.634747326374,100,4.903850540310583,21.47259301779078,-22.08930001092368,26.160914446247407,94.91118862814444,True
2458641.521201482,2.634747326374,101,4.903801463654942,21.723727806176488,-22.170077138524007,25.836003969187054,94.92102286980003,True
2458651.3637257726,2.6247292757030003,101,4.904064147928611,21.866839901206593,-22.22538749958343,25.654577521005717,94.86838923177588,True
2458653.3729833886,2.594675123692,101,4.90409270544327,23.08729573327284,-22.59604588608488,24.208478155988526,94.86266786456393,True
2458646.3058103775,2.634747326374,102,4.903989681012993,21.616292552529075,-22.14267981045103,25.973966651244243,94.8833089435131,True
2458648.3150682254,2.604693174362,102,4.904016401398581,22.807802071104184,-22.512620957850338,24.524541689644224,94.87795531826607,True
2458650.3243253776,2.584657073021,102,4.904043848738874,24.13859842063904,-22.88596792512118,23.091386889948417,94.8724561598168,True
2458651.498698414,2.534566819668,102,4.903916309760219,27.04303246540173,-23.581848841137372,20.49199448759609,94.8980099926916,True
2458652.333581971,2.5546029210089998,102,4.904071932932955,25.62898689936588,-23.263476258317777,21.678095226845294,94.86682952905112,True
2458653.5079542906,2.5546029210089998,102,4.903940243017132,25.39583361410124,-23.20098298235027,21.88734317435239,94.89321450622451,True
2458654.3428379637,2.534566819668,102,4.904100570187927,27.30315531054625,-23.64603908650585,20.288124547900768,94.86109222164264,True
2458641.2478949823,2.6447653770449997,103,4.9039214647716305,21.371504754314685,-22.057564910860243,26.294115417769678,94.89697707976215,True
