Access From [JDUT1],Access Duration [s],POI index,Ground Pixel Along-Track Resolution [m],Ground Pixel Cross-Track Resolution [m],SNR,DR,Noise-Equivalent Delta T [K],Coverage [T/F]
2457954.6372688543,0.003379583359,14,29.85369148018767,30.099591654746117,604.3810452488863,18283.80053942183,nan,True
2457954.7052466343,0.003379583359,14,29.853898210463093,30.193713555437956,537.4217210878767,14461.077692599205,nan,True
2457955.5994848274,0.003379583359,14,29.8536943810277,29.891243652496968,628.9731745606377,19800.34253455839,nan,True
2457955.6674863943,0.003379583359,14,29.853656671321968,30.37432987261074,572.5590807010086,16411.170700684735,nan,True
2457955.7354735318,0.003379583359,14,29.853786586526414,29.873512986019488,499.38621787715647,12489.2977540671,nan,True
2457956.629721643,0.0022530555729999998,14,29.853767801136858,30.008450085428812,492.88940396940563,12166.965405313269,nan,True
2457956.6977010397,0.0022530555729999998,14,29.853652983524857,30.273667917225335,438.9670438591473,9654.561934180629,nan,True
2457956.765722443,0.003379583359,14,29.85370369052105,30.191090918747246,456.06377449767626,10419.67000506602,nan,True
2457957.5919306707,0.003379583359,14,29.8542117388132,30.00136633493913,625.8444147385705,19604.041189811738,nan,True
2457957.659941647,0.003379583359,14,29.853869834336177,30.33412908617199,572.4196503823762,16403.188451387592,nan,True
2457957.727924078,0.003379583359,14,29.85368117053731,29.931037528969703,499.9674263566313,12518.3394687326,nan,True
2457958.6221733666,0.003379583359,14,29.854432827818844,29.928774153493574,602.5056935184266,18170.633546767425,nan,True
2457958.6901559536,0.003379583359,14,29.854000573611632,30.33646479035538,537.646407778186,14473.155390604476,nan,True
2457958.7581665,0.003379583359,14,29.853746907263854,29.99454768893674,457.3208015153547,10477.077669088714,nan,True
2457959.5843746625,0.003379583359,14,29.85530426757759,30.203288822186277,621.5110060554802,19333.775864603147,nan,True
2457959.652396561,0.003379583359,14,29.854673170603277,30.271594527391684,571.7202360364969,16363.17699939245,nan,True
2457959.7203758536,0.003379583359,14,29.85416507656349,30.012574058145695,499.904774436317,12515.2072650887,nan,True
2457960.6146238735,0.003379583359,14,29.855676104839645,29.873693511366028,600.3699849650504,18042.18379663034,nan,True
2457960.6826112326,0.003379583359,14,29.854936937396555,30.37673906132631,536.9746116751522,14437.059011039371,nan,True
2457960.7506124345,0.003379583359,14,29.85437313431479,29.88900821854968,457.7694112961461,10497.603664444181,nan,True
2457961.6448509404,0.003379583359,14,29.85605528642205,30.192166972946307,570.4250365556869,16289.211590460884,nan,True
2457961.7128286813,0.003379583359,14,29.85523343462214,30.10504787009771,499.23890544466997,12481.942240450966,nan,True
2457962.6070730025,0.0022530555729999998,14,29.857479308251435,29.857949724881152,487.5720548750039,11906.291895408238,nan,True
2457962.675066694,0.003379583359,14,29.85644987575532,30.391259453078835,535.7983961304819,14373.968275381922,nan,True
2457962.743060073,0.003379583359,14,29.855576575913858,29.8557678022382,457.4845184735056,10484.566153468011,nan,True
2457963.6373046287,0.003379583359,14,29.85799682546033,30.1033531821108,568.4955328292712,16179.333849968461,nan,True
2457963.7052823957,0.003379583359,14,29.856873293488448,30.19714084032263,498.01506280857535,12420.917987243225,nan,True
2457964.5995205888,0.003379583359,14,29.85981656511053,29.897750117918104,593.2740542366645,17618.68249408973,nan,True
2457964.6675221687,0.003379583359,14,29.858519199567553,30.378966697965115,534.1050296093953,14283.381167286972,nan,True
2457964.735509267,0.003379583359,14,29.85734350657292,29.877296749182126,456.47754502767646,10438.54920950223,nan,True
2457965.6297574434,0.003379583359,14,29.86047076802718,30.014637569536514,565.8726825966655,16030.569724223571,nan,True
2457965.697736827,0.003379583359,14,29.859063762748782,30.279415053271876,496.26107775277006,12333.720485707348,nan,True
2457965.765758152,0.003379583359,14,29.857882411631046,30.193854963864762,409.49107348452304,8404.09948035527,nan,True
2457966.591966484,0.003379583359,14,29.862654894259386,30.010616395939433,588.1340900039411,17315.062316616782,nan,True
2457966.659977487,0.003379583359,14,29.861117019046226,30.340985954892393,531.8758636872653,14164.568518994396,nan,True
2457966.7279598652,0.003379583359,14,29.859652392982596,29.937393026568785,454.8225693229089,10363.139954282666,nan,True
2457967.622209228,0.003379583359,14,29.86344286987392,29.937375112119252,562.4919821513452,15839.836278286151,nan,True
2457967.6901918063,0.003379583359,14,29.86177627978596,30.344419178328483,493.98442749863364,12220.998053483578,nan,True
2457967.7582022613,0.003379583359,14,29.860310628047166,30.000266224532215,408.31238067871664,8355.902254726881,nan,True
2457968.584410541,0.003379583359,14,29.865954739609457,30.215232136104234,581.8289436555317,16946.22240750976,nan,True
2457968.652432466,0.0022530555729999998,14,29.8642081465764,30.280612247757908,431.83094600799103,9343.855579061294,nan,True
2457968.720411702,0.003379583359,14,29.86247413151324,30.021334257674162,452.553787312081,10260.207610805384,nan,True
2457969.6146598044,0.003379583359,14,29.86687217999068,29.884666628282854,558.2908994393289,15604.410818873386,nan,True
2457969.6826471635,0.003379583359,14,29.864974996932794,30.386774516956084,491.20050681416916,12083.86384742646,nan,True
2457969.75064827,0.0022530555729999998,14,29.8632396083166,29.89749530766914,331.61929026783264,5518.495462107196,nan,True
2457954.5003907545,0.003379583359,15,29.85365085832023,30.222272258637517,639.6874281690687,20479.980775664448,nan,True
2457954.568413601,0.003379583359,15,29.853732201705043,30.264749833011145,591.5319101171324,17515.477223442147,nan,True
2457954.6363927107,0.003379583359,15,29.853987575311216,30.019499092646132,521.878268647466,13637.81707706675,nan,True
2457955.530640513,0.003379583359,15,29.853667659666254,29.868645509803162,619.9486275113426,19236.794265770506,nan,True
