POI,lat[deg],lon[deg]
248,-83.9326,223.784
249,-83.9326,233.514
250,-83.9326,243.243
251,-83.9326,252.973
252,-83.9326,262.703
253,-83.9326,272.432
254,-83.9326,282.162
255,-83.9326,291.892
256,-83.9326,301.622
257,-83.9326,311.351
258,-83.9326,321.081
259,-83.9326,330.811
260,-83.9326,340.541
261,-83.9326,350.27
262,82.9213,0
263,82.9213,8.37209
264,82.9213,16.7442
265,82.9213,25.1163
266,82.9213,33.4884
267,82.9213,41.8605
268,82.9213,50.2326
269,82.9213,58.6047
270,82.9213,66.9767
271,82.9213,75.3488
272,82.9213,83.7209
273,82.9213,92.093
274,82.9213,100.465
275,82.9213,108.837
276,82.9213,117.209
277,82.9213,125.581
278,82.9213,133.953
279,82.9213,142.326
280,82.9213,150.698
281,82.9213,159.07
282,82.9213,167.442
283,82.9213,175.814
284,82.9213,184.186
285,82.9213,192.558
286,82.9213,200.93
287,82.9213,209.302
288,82.9213,217.674
289,82.9213,226.047
290,82.9213,234.419
291,82.9213,242.791
292,82.9213,251.163
293,82.9213,259.535
294,82.9213,267.907
295,82.9213,276.279
296,82.9213,284.651
297,82.9213,293.023
298,82.9213,301.395
299,82.9213,309.767
300,82.9213,318.14
301,82.9213,326.512
302,82.9213,334.884
303,82.9213,343.256
304,82.9213,351.628
305,-82.9213,0
306,-82.9213,8.18182
307,-82.9213,16.3636
308,-82.9213,24.5455
309,-82.9213,32.7273
310,-82.9213,40.9091
311,-82.9213,49.0909
312,-82.9213,57.2727
313,-82.9213,65.4545
314,-82.9213,73.6364
315,-82.9213,81.8182
316,-82.9213,90
317,-82.9213,98.1818
318,-82.9213,106.364
319,-82.9213,114.545
320,-82.9213,122.727
321,-82.9213,130.909
322,-82.9213,139.091
323,-82.9213,147.273
324,-82.9213,155.455
325,-82.9213,163.636
326,-82.9213,171.818
327,-82.9213,180
328,-82.9213,188.182
329,-82.9213,196.364
330,-82.9213,204.545
331,-82.9213,212.727
332,-82.9213,220.909
333,-82.9213,229.091
334,-82.9213,237.273
335,-82.9213,245.455
336,-82.9213,253.636
337,-82.9213,261.818
338,-82.9213,270
339,-82.9213,278.182
340,-82.9213,286.364
341,-82.9213,294.545
342,-82.9213,302.727
343,-82.9213,310.909
344,-82.9213,319.091
345,-82.9213,327.273
346,-82.9213,335.455
347,-82.9213,343.636
348,-82.9213,351.818
349,81.9101,0
350,81.9101,7.2
351,81.9101,14.4
352,81.9101,21.6
353,81.9101,28.8
354,81.9101,36
355,81.9101,43.2
356,81.9101,50.4
357,81.9101,57.6
358,81.9101,64.8
359,81.9101,72
360,81.9101,79.2
361,81.9101,86.4
362,81.9101,93.6
363,81.9101,100.8
364,81.9101,108
365,81.9101,115.2
366,81.9101,122.4
367,81.9101,129.6
368,81.9101,136.8
369,81.9101,144
370,81.9101,151.2
371,81.9101,158.4
372,81.9101,165.6
373,81.9101,172.8
374,81.9101,180
375,81.9101,187.2
376,81.9101,194.4
377,81.9101,201.6
378,81.9101,208.8
379,81.9101,216
380,81.9101,223.2
381,81.9101,230.4
382,81.9101,237.6
383,81.9101,244.8
384,81.9101,252
385,81.9101,259.2
386,81.9101,266.4
387,81.9101,273.6
388,81.9101,280.8
389,81.9101,288
390,81.9101,295.2
391,81.9101,302.4
392,81.9101,309.6
393,81.9101,316.8
394,81.9101,324
395,81.9101,331.2
396,81.9101,338.4
397,81.9101,345.6
398,81.9101,352.8
399,-81.9101,0
400,-81.9101,7.2
401,-81.9101,14.4
402,-81.9101,21.6
403,-81.9101,28.8
404,-81.9101,36
405,-81.9101,43.2
406,-81.9101,50.4
407,-81.9101,57.6
408,-81.9101,64.8
409,-81.9101,72
410,-81.9101,79.2
411,-81.9101,86.4
412,-81.9101,93.6
413,-81.9101,100.8
414,-81.9101,108
415,-81.9101,115.2
416,-81.9101,122.4
417,-81.9101,129.6
418,-81.9101,136.8
419,-81.9101,144
420,-81.9101,151.2
421,-81.9101,158.4
422,-81.9101,165.6
423,-81.9101,172.8
424,-81.9101,180
425,-81.9101,187.2
426,-81.9101,194.4
427,-81.9101,201.6
428,-81.9101,208.8
429,-81.9101,216
430,-81.9101,223.2
431,-81.9101,230.4
432,-81.9101,237.6
433,-81.9101,244.8
