POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of Sigma NEZ Nought [dB],Mean of Incidence angle [deg],Mean of Swath-width [km],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of Sigma NEZ Nought [dB],SD of Incidence angle [deg],SD of Swath-width [km]
98,4.903952792738993,24.923870922108218,-23.046725413682843,22.50733120824049,94.89070025024662,6.329155595872688e-05,2.2283116002922037,0.5627005093771725,2.107811641531074,0.01268138883977398
99,4.903901082543527,24.463768335533715,-22.92895795246122,22.941309969348914,94.90106128687854,5.0962436971066e-05,2.101768259784739,0.5554390231582583,2.1027333198554343,0.010211504688467581
100,4.903841344918226,24.15854366104987,-22.843323806984454,23.26063264582057,94.91303135106725,4.5375075591746084e-05,2.284348909095057,0.6066242051276629,2.3019524336810333,0.009092267629545632
101,4.903986105675607,22.225954480218643,-22.33050350806411,25.233019882060432,94.88402665537994,0.00016054092860581201,0.7493676224629071,0.23162334706118473,0.8919042551595534,0.03216711708805858
102,4.904011283864098,24.8476716190982,-23.033373694533402,22.56220752393306,94.87898095302941,6.741733571046548e-05,2.1160343329706395,0.5542970624954129,2.1002070677285247,0.01350751986310296
103,4.903936231823221,24.196469219618642,-22.858036290533303,23.215720135873305,94.8940184114417,5.194845470150234e-05,2.116517771110092,0.5624460196623657,2.134268268966605,0.010408772452086353
104,4.9038867976710865,25.22357806947777,-23.122831079809103,22.210032346038854,94.90392367265268,5.879350851755859e-05,2.1579472553560133,0.539662921174932,2.01539616721524,0.011780750486409423
105,4.903890969245898,23.97868205788336,-22.78718300650182,23.49023546872633,94.90308861840217,0.0001300478414114409,2.5709009669167173,0.6672491488766592,2.5289333908261677,0.02605700653404557
106,4.903975609784931,23.74145070123798,-22.717434064945934,23.77533801879803,94.88612927959812,0.00013097048397715658,2.8544363906105628,0.7409201714505281,2.795525979611303,0.02624216145312781
107,4.903992772559541,25.44942932560736,-23.182774906383298,22.001798263030224,94.8826899095193,7.468744982132947e-05,2.1683536779193338,0.5413363466928804,2.027037355194166,0.014964317641522241
108,4.903932750696249,24.198426344068086,-22.858033267630297,23.215791426247925,94.89471591612823,5.162785870854323e-05,2.1289118321278777,0.5660351883771136,2.146059368906262,0.010344563720002196
109,4.903872375739524,24.718301402541933,-22.997565037164854,22.67368857298621,94.90681342905809,5.073381187254156e-05,2.0112449033674515,0.5271264867421204,1.995515762665618,0.010165912021865012
110,4.903883118237516,22.742979918759506,-22.474828006128504,24.660878951157716,94.90466201132296,0.000148723122095129,1.2279024609154192,0.3539080758956556,1.3833393295137395,0.02979888378844508
111,4.9040465774125135,24.19711025260178,-22.863037834907594,23.21188959766556,94.87190971215773,6.210970793492368e-05,2.2242756464401516,0.5897075171744645,2.2445556991903244,0.012443875805392258
112,4.903972048179672,24.652087497387395,-22.980246730245746,22.75901014529853,94.88684213755434,6.18668248776227e-05,2.1317257477725153,0.5630153268883545,2.1391932300796093,0.0123957467649848
113,4.9039184657662345,24.925608673389657,-23.045937338978067,22.50607180957153,94.89757824431982,5.956661982264284e-05,2.2309514292356223,0.5635890005725565,2.1099229391241474,0.01193536224646931
114,4.90386328292214,25.216889237518117,-23.12567669541753,22.19047876370607,94.90863547685966,5.7630330345428396e-05,2.0273312439955307,0.514555439199542,1.9293128678293168,0.011547822510076598
115,4.903910227483544,22.056780571001955,-22.276517715720228,25.43285044947406,94.89923015125997,0.00016550133111049598,0.5977456297902076,0.1905763992315009,0.746411194289295,0.033160599419686757
116,4.904022676530326,25.108011262083522,-23.09450795587342,22.338748936599348,94.87669842410462,7.373855887808683e-05,2.3458766842243914,0.5915903942205945,2.2267048512199583,0.014773950504346026
117,4.9039667977361265,24.508874900114304,-22.947643944246977,22.875062000516646,94.88789410005502,5.776440691453801e-05,1.9819820846603309,0.5168676600966223,1.9512658164837249,0.01157380590990155
118,4.90390434987967,24.502051908178103,-22.943388453793844,22.883106017279434,94.90040660297788,5.133610288462144e-05,1.9873976202328063,0.519431526649027,1.962681075441452,0.010286351082044625
119,4.90384410266348,24.419495921177678,-22.922353096201782,22.95192749396299,94.91247874913019,4.580063742473745e-05,1.982272305150826,0.526755226582399,1.9997808460476643,0.009177520965814458
120,4.90398964061659,22.079208871687673,-22.2865928017839,25.404618420137393,94.88331841305575,0.00016157276239052527,0.589069246632182,0.18522655401084595,0.7294453989304195,0.032373779904305726
121,4.904015161089591,24.662493351377968,-22.977023665436285,22.783118576523304,94.87820413137474,6.77094680632911e-05,2.3507795285456394,0.6221977962271028,2.365578752366706,0.013566009616199207
122,4.904546992473997,24.065102058354267,-22.846334531651017,23.34021806411339,94.77167120806806,6.883548648242199e-05,2.057046121016482,0.5474695723019088,2.079831918904653,0.013785823729103105
123,4.904533030476172,23.708214422668103,-22.75573153387497,23.67780843623804,94.77446746296312,7.431646545498293e-05,1.829240214464665,0.4972937528631911,1.8991820052485717,0.014883651086866762
124,4.904520052091137,23.68817991574297,-22.750558295930393,23.695699764561677,94.7770667182728,7.56741282131675e-05,1.8007493259565945,0.4926634343387399,1.8829827933110508,0.015155708439626105
125,4.90450220441829,23.397804606597063,-22.671994742726167,23.99223767313707,94.7806412480095,8.09256736174281e-05,1.6985285119814613,0.46976738511816907,1.800465881459583,0.016207611247151036
126,4.904505664430903,24.240069785006938,-22.892657476712092,23.158353842683205,94.77994816392786,6.947203420028978e-05,2.123932572479811,0.5405275066833611,2.033830382088328,0.013913710406578923
127,4.904505415833682,23.848547502269795,-22.78352154181766,23.57648621863345,94.77999803573134,7.705165046166223e-05,2.149324176139798,0.5664371620824753,2.15322416581487,0.015431769658886456
128,4.9045029366711015,23.949884968055994,-22.811226647716698,23.47152406049246,94.78049452232634,7.505157103204665e-05,2.198113710272095,0.5763613336804749,2.1916043371403964,0.015031177018138948
129,4.904489428779503,23.899428249088803,-22.80118266919558,23.503129066849652,94.78319988709394,7.624816454050579e-05,2.0679380211732195,0.5439063359664406,2.069560546870485,0.015270988867226378
130,4.904485110840916,24.113591765507362,-22.853836014683402,23.30794066272018,94.78406465440587,7.554935149136666e-05,2.290090529684598,0.6061343605828674,2.312585537710772,0.015131011650329401
131,4.9044713217926965,24.04747642355136,-22.84036614291164,23.35114397404535,94.78682636678461,7.667753318065814e-05,2.1358546426252762,0.5663492802598851,2.1604158596983543,0.01535712825401003
132,4.904461738100404,24.512437870646522,-22.955527190764116,22.921933002289524,94.78874578410324,7.889294984311286e-05,2.5805539667682917,0.6927966485726575,2.65278870302098,0.01580081788840382
133,4.9044476165102795,24.418334052536704,-22.935220991464416,22.988817612328692,94.79157414957592,7.9991594364359e-05,2.404695180106757,0.6476509987388722,2.476096229320075,0.016021030943186576
134,4.904512087180518,27.208555213564612,-23.635048159789914,20.38357788839426,94.77866299256742,0.00016843721591949549,1.0395939708543762,0.22311670745452625,0.8008117240985418,0.03373282730907048
135,4.904499696759448,27.135260483433836,-23.619034255127275,20.43953995145174,94.78114458642864,0.0001721549209698308,0.99079755055098,0.21767727221151076,0.780300225112012,0.03447767902778809
136,4.904598474844764,25.546900830546424,-23.20432276782044,22.023796771045543,94.76136180091206,0.00014029074567842122,2.932788385115854,0.7711524684065588,2.926780565943789,0.02809618069738338
137,4.904587543467619,25.567764964312993,-23.20682794156758,22.015664687725476,94.76355101425045,0.00014331420235159998,2.9757608826385433,0.788565243565953,2.996645201054974,0.02870195292076076
138,4.904647572603711,24.298940400674518,-22.893389617546873,23.193881075209436,94.75152855490346,5.711551224262831e-05,2.7078203824164926,0.7182793459765836,2.7209779624273533,0.01143777389180936
139,4.9046559227025694,25.197485302316057,-23.136313852484324,22.269360948572277,94.74985633995638,4.841101232497256e-05,2.559569067924502,0.6504735163216979,2.439186079745457,0.009694647162247976
140,4.904647380045704,24.60983998274054,-22.988923505222775,22.81989419408426,94.75156708292512,5.131811591560818e-05,2.380774439261043,0.5986596796074091,2.2393050554187104,0.010276817494699567
141,4.904636315595143,23.915951588575112,-22.820411071247047,23.443127815566818,94.75378285761096,5.914231422816475e-05,1.831031477777963,0.48985153110667873,1.8588428611471999,0.011843762086004819
142,4.904632472158132,23.759874571881927,-22.779069299029953,23.599535537901524,94.75455255459175,5.9617322679217786e-05,1.7192754597826287,0.4598983413476066,1.7471281828817031,0.011938899192733806
143,4.904621840289742,23.800944615999295,-22.786751069987588,23.57028035762011,94.75668169349319,6.139487555837639e-05,1.8235265766465176,0.48620430753599087,1.8425004562722267,0.01229497325188801
144,4.904619173299532,23.745321411733457,-22.766888767995624,23.648911489129006,94.7572158082957,6.3055966501396e-05,1.9073166457018564,0.5141772893786671,1.9559279389543838,0.012627642794031606
145,4.904608172478645,23.774821338819578,-22.772744019127327,23.627217050346086,94.75941885792287,6.482726107976181e-05,1.9739435541116703,0.5288587505455574,2.008248011227522,0.012982475351890524
146,4.904596516297252,24.075504764795564,-22.849090735700333,23.338271569889013,94.76175314037462,6.274680057458853e-05,2.1129680501843975,0.5615609169760583,2.1278354139307876,0.012565946138665773
147,4.904584882533815,24.08700858586249,-22.85021780776233,23.33437582210825,94.7640829840718,6.431345843647687e-05,2.1626064623918646,0.5732426015094376,2.1702008334416756,0.01287980829628763
148,4.904585327146341,24.79801518274987,-23.035747338678675,22.633700693285558,94.76399386228091,5.4702099606202185e-05,2.2625297026424334,0.5720262449951475,2.1421415727841535,0.010954970275380062
149,4.90458364907892,24.079814878880107,-22.849321869917645,23.336677843637382,94.76433000404823,6.447994923075097e-05,2.130671813061584,0.5648063179422701,2.1432629628278237,0.012913163462178277
150,4.904571700511427,24.07138443076017,-22.84782791343231,23.338956151898884,94.76672291622866,6.598755646835953e-05,2.09032579695545,0.555304875409809,2.1085912294069953,0.013215209168194896
151,4.9045594773088546,24.066474955991858,-22.84700786400017,23.340141579085383,94.76917085174937,6.744005639292315e-05,2.065605146684354,0.5497096741007325,2.0872999454398955,0.013506227039402467
152,4.903860901813768,24.278831672889844,-22.823480475086107,23.391981488137027,94.90911312380703,0.0001368363930456828,4.389953068467531,1.1824953702630931,4.47683827606588,0.027419250177383035
153,4.903970767357789,27.768650628476628,-23.742226357496858,19.933466229726573,94.8870985012825,nan,nan,nan,nan,nan
154,4.9039023816235625,25.3145359477691,-23.140754413612836,22.15703903219885,94.90080156320947,0.00012007115025944426,2.744635735089852,0.6783408368883364,2.5092250166382906,0.024059671113645337
155,4.90387131457959,23.924550221092836,-22.800862934739783,23.413558109683052,94.907026679744,0.00014186403223255428,2.0897015610703087,0.5729514243066242,2.166542319866494,0.02842645398882519
156,4.903871782153925,23.90389376764368,-22.799513136178753,23.414929804360057,94.90693299727903,0.00011649970205592824,1.5347601407282108,0.4178525459067461,1.5872790693079684,0.0233439708334694
157,4.903881914920744,23.9224177835741,-22.800886425425958,23.41419480975434,94.90490267352199,0.00012024493349205417,1.700303734748154,0.46200403377330934,1.7517670751493777,0.024094240421092775
158,4.903882483868396,24.008269676367977,-22.80639216772289,23.409217847344504,94.9047886846344,0.00011505608349304809,2.184006545760153,0.5879022536528316,2.240187786942694,0.02305448109472894
159,4.903892937458388,24.009009166975947,-22.80663288957561,23.409526931301247,94.90269409399224,0.00011852706963572943,2.1907196610432376,0.5902010642521104,2.2464564546849872,0.02374978886087528
160,4.903903697325817,24.017606712331638,-22.80738292949759,23.40938263801296,94.90053815083165,0.00012189631293643053,2.244989092366692,0.604231372195369,2.296520646386868,0.02442469289243518
161,4.9039340417796256,24.62033933019284,-22.97752911036736,22.75949030008496,94.89445809615711,0.00012958004208288304,2.0708149737134782,0.5300480997889944,1.9908935792172446,0.025964136405886632
162,4.903945812909174,24.690640152768005,-22.99377343668989,22.701657609471333,94.8920996019743,0.00013291929588610618,2.168586392168166,0.5466523271731024,2.041693331156443,0.02663299329465779
163,4.903929307622446,25.316496463700172,-23.14114003112736,22.156856447236418,94.89540690949654,0.00014040780380818863,2.464933949034176,0.6059590463829156,2.253791720489065,0.028133325128286
164,4.903909189629583,24.64564259748211,-22.982225262290225,22.73806916424889,94.8994378228901,0.00013532612595056252,2.1028437945010037,0.5330883440921205,2.005126895774072,0.027115070745698168
