POI,lat[deg],lon[deg]
248,-81.4286,223.784
249,-81.4286,233.514
250,-81.4286,243.243
251,-81.4286,252.973
252,-81.4286,262.703
253,-81.4286,272.432
254,-81.4286,282.162
255,-81.4286,291.892
256,-81.4286,301.622
257,-81.4286,311.351
258,-81.4286,321.081
259,-81.4286,330.811
260,-81.4286,340.541
261,-81.4286,350.27
262,80,0
263,80,8.37209
264,80,16.7442
265,80,25.1163
266,80,33.4884
267,80,41.8605
268,80,50.2326
269,80,58.6047
270,80,66.9767
271,80,75.3488
272,80,83.7209
273,80,92.093
274,80,100.465
275,80,108.837
276,80,117.209
277,80,125.581
278,80,133.953
279,80,142.326
280,80,150.698
281,80,159.07
282,80,167.442
283,80,175.814
284,80,184.186
285,80,192.558
286,80,200.93
287,80,209.302
288,80,217.674
289,80,226.047
290,80,234.419
291,80,242.791
292,80,251.163
293,80,259.535
294,80,267.907
295,80,276.279
296,80,284.651
297,80,293.023
298,80,301.395
299,80,309.767
300,80,318.14
301,80,326.512
302,80,334.884
303,80,343.256
304,80,351.628
305,-80,0
306,-80,8.37209
307,-80,16.7442
308,-80,25.1163
309,-80,33.4884
310,-80,41.8605
311,-80,50.2326
312,-80,58.6047
313,-80,66.9767
314,-80,75.3488
315,-80,83.7209
316,-80,92.093
317,-80,100.465
318,-80,108.837
319,-80,117.209
320,-80,125.581
321,-80,133.953
322,-80,142.326
323,-80,150.698
324,-80,159.07
325,-80,167.442
326,-80,175.814
327,-80,184.186
328,-80,192.558
329,-80,200.93
330,-80,209.302
331,-80,217.674
332,-80,226.047
333,-80,234.419
334,-80,242.791
335,-80,251.163
336,-80,259.535
337,-80,267.907
338,-80,276.279
339,-80,284.651
340,-80,293.023
341,-80,301.395
342,-80,309.767
343,-80,318.14
344,-80,326.512
345,-80,334.884
346,-80,343.256
347,-80,351.628
348,78.5714,0
349,78.5714,7.34694
350,78.5714,14.6939
351,78.5714,22.0408
352,78.5714,29.3878
353,78.5714,36.7347
354,78.5714,44.0816
355,78.5714,51.4286
356,78.5714,58.7755
357,78.5714,66.1224
358,78.5714,73.4694
359,78.5714,80.8163
360,78.5714,88.1633
361,78.5714,95.5102
362,78.5714,102.857
363,78.5714,110.204
364,78.5714,117.551
365,78.5714,124.898
366,78.5714,132.245
367,78.5714,139.592
368,78.5714,146.939
369,78.5714,154.286
370,78.5714,161.633
371,78.5714,168.98
372,78.5714,176.327
373,78.5714,183.673
374,78.5714,191.02
375,78.5714,198.367
376,78.5714,205.714
377,78.5714,213.061
378,78.5714,220.408
379,78.5714,227.755
380,78.5714,235.102
381,78.5714,242.449
382,78.5714,249.796
383,78.5714,257.143
384,78.5714,264.49
385,78.5714,271.837
386,78.5714,279.184
387,78.5714,286.531
388,78.5714,293.878
389,78.5714,301.224
390,78.5714,308.571
391,78.5714,315.918
392,78.5714,323.265
393,78.5714,330.612
394,78.5714,337.959
395,78.5714,345.306
396,78.5714,352.653
397,-78.5714,0
398,-78.5714,7.34694
399,-78.5714,14.6939
400,-78.5714,22.0408
401,-78.5714,29.3878
402,-78.5714,36.7347
403,-78.5714,44.0816
404,-78.5714,51.4286
405,-78.5714,58.7755
406,-78.5714,66.1224
407,-78.5714,73.4694
408,-78.5714,80.8163
409,-78.5714,88.1633
410,-78.5714,95.5102
411,-78.5714,102.857
412,-78.5714,110.204
413,-78.5714,117.551
414,-78.5714,124.898
415,-78.5714,132.245
416,-78.5714,139.592
417,-78.5714,146.939
418,-78.5714,154.286
419,-78.5714,161.633
420,-78.5714,168.98
421,-78.5714,176.327
422,-78.5714,183.673
423,-78.5714,191.02
424,-78.5714,198.367
425,-78.5714,205.714
426,-78.5714,213.061
427,-78.5714,220.408
428,-78.5714,227.755
429,-78.5714,235.102
430,-78.5714,242.449
431,-78.5714,249.796
432,-78.5714,257.143
433,-78.5714,264.49
434,-78.5714,271.837
435,-78.5714,279.184
436,-78.5714,286.531
437,-78.5714,293.878
438,-78.5714,301.224
439,-78.5714,308.571
440,-78.5714,315.918
441,-78.5714,323.265
442,-78.5714,330.612
443,-78.5714,337.959
444,-78.5714,345.306
445,-78.5714,352.653
446,77.1429,0
447,77.1429,6.54545
448,77.1429,13.0909
449,77.1429,19.6364
450,77.1429,26.1818
451,77.1429,32.7273
452,77.1429,39.2727
453,77.1429,45.8182
454,77.1429,52.3636
455,77.1429,58.9091
456,77.1429,65.4545
457,77.1429,72
458,77.1429,78.5455
459,77.1429,85.0909
460,77.1429,91.6364
461,77.1429,98.1818
462,77.1429,104.727
463,77.1429,111.273
464,77.1429,117.818
465,77.1429,124.364
466,77.1429,130.909
