Access From [JDUT1],Access Duration [s],POI index,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2458562.8678740812,0.014081597,3,2188.572929282959,62.646876593956996,80.39127235404261,63.67762735547993,True
2458563.001060143,0.013075769,4,4820.959603738683,61.38895768323014,77.03910683668607,nan,True
2458562.524382066,0.014081597,5,9254.51259835866,43.477067498737576,49.80135036934889,83.010563889425,True
2458562.657561033,0.013075769,6,12506.798214191318,20.515922575438836,22.895084061309824,nan,True
2458562.829309883,0.013075769,8,9235.409862718237,43.576003501491925,49.94204561974439,nan,True
2458562.352635394,0.014081597,9,13221.002454049001,10.257837010589434,11.404230318767386,71.18174809261865,True
2458562.48581485,0.014081597,10,12521.506750424827,20.371941622989937,22.738955394680126,86.92027232345652,True
2458562.696131532,0.013075769,13,2125.8844907739262,62.307715273961,79.47302989290945,nan,True
2458562.379751693,0.013075769,14,8433.552712193468,47.569705801682865,55.01943539031343,nan,True
2458562.929463856,0.014081597,19,7816.554956880581,50.40430528931661,58.801932304036626,nan,True
2458562.65460739,0.014081597,22,12817.00160832782,16.825884327626635,18.74322845191393,nan,True
2458562.836514415,0.014081597,32,6302.439885906574,56.558842736079846,67.89838799578064,68.88518680680855,True
2458562.561659591,0.014081597,35,4095.2296747267474,63.0999646812087,81.9683771315088,nan,True
2458563.339052034,0.014081597,37,3936.467617703707,63.415726666306,83.08467022436247,nan,True
2458562.651857898,0.013075769,48,12580.560260997638,19.70081321912537,21.97615043706377,89.70107359257088,True
2458562.583199373,0.014081597,49,12768.164270740135,17.458462104333524,19.453552142446352,nan,True
2458563.011101516,0.014081597,51,9889.520353706315,40.016373809503065,45.547108043724954,53.997836757243014,True
2458562.701838975,0.013075769,64,4813.324203087248,61.39637871815416,77.10854324238692,89.72083337815592,True
2458562.961122339,0.013075769,67,3906.9380047179384,63.44627940124852,83.32812551096964,66.3531089882422,True
2458562.73891363,0.013075769,72,4902.003759692778,61.15912742274752,76.52378294785724,81.7205532085035,True
2458563.061484829,0.013075769,75,6999.417157208536,53.86867074734154,63.71436706388538,nan,True
2458563.288669024,0.014081597,81,9546.894331050924,41.91910489882789,47.8751724311609,64.64515483206752,True
2458562.511729481,0.014081597,86,10088.652237793785,38.86816264907584,44.1570786922078,nan,True
2458562.408676207,0.014081597,98,5457.706983118163,59.478448868627254,73.0345618392488,69.4266573410503,True
2458562.841968091,0.014081597,100,6347.00261242204,56.39588873185882,67.6268193147601,87.11366409676512,True
2458562.958431837,0.013075769,107,2706.2039194430427,64.01182855740487,86.43170721424285,53.60422134389559,True
2458562.371630337,0.014081597,109,1012.9329760175733,43.06076984518704,49.285793701099436,nan,True
2458562.509058389,0.013075769,128,8149.876501582139,48.89621030080538,56.77340689573128,nan,True
2458562.432355808,0.014081597,130,3473.6729217156253,64.04677809506542,86.63251069217725,nan,True
2458562.844639278,0.013075769,143,5526.5910409742,59.2606480816105,72.60178483377489,nan,True
2458562.707211609,0.014081597,146,7849.961548096501,50.25290688872804,58.60902208456863,84.68880829879389,True
2458562.56978379,0.014081597,149,4230.24539272662,62.82867179891365,81.01080589948921,nan,True
2458562.675547988,0.014081597,158,8950.585452157173,45.0372407218974,51.77322282049063,nan,True
2458562.4693695772,0.014081597,163,2764.021523107837,64.09279040448203,87.03530739537824,16.490282108467145,True
2458562.7125746612,0.014081597,169,9640.780685354628,41.40639172909142,47.24465206958917,87.5522479257425,True
2458562.506396122,0.014081597,174,5864.177452576917,58.1317253651305,70.53171380232833,nan,True
2458563.259658871,0.014081597,180,9107.334846528105,44.2396752617719,50.763472873380394,87.40075189833576,True
2458563.053480388,0.014081597,185,6987.223971499255,53.91545041846208,63.79315987926665,nan,True
2458563.296674468,0.014081597,191,6645.304503524738,55.2644561297007,65.84144180913586,84.31244579451796,True
2458563.090495985,0.014081597,196,7411.297846925005,52.15868308827041,61.258676467097224,62.64698260380884,True
