Satellite states are in Earth-Centered-Inertial equatorial plane.
Epoch[JDUT1] is 2458640.0000000000000000
All time is referenced to the Epoch.
Mission Duration [Days] is 15.0000000000000000
EventNum,POI,AccessFrom[Days],Duration[s],Time[Days],X[km],Y[km],Z[km],VX[km/s],VY[km/s],VZ[km/s]
0,98,3.465032951441,2.614711225033,3.465048024897,903.977371422342,2317.112916665152,-6674.072854408920,7.354313256546,0.629897497647,1.215550894218
1,98,5.474290472455,2.594675123692,5.474305429962,696.102171363021,2371.457914380305,-6679.858758645154,7.292162903278,1.180424811155,1.179756175867
2,98,6.648664299399,2.524548768997,6.648678909056,-1585.526621826574,1835.962279065898,-6696.770576136078,7.068133226078,2.204021756026,-1.068590295340
3,98,7.483547392767,2.574639022350,7.483562234323,484.934250552133,2407.669510104698,-6685.527610489707,7.188692169733,1.725252027221,1.143550261051
4,98,8.657919849269,2.554602921009,8.657934574876,-1750.453082629017,1701.047296890129,-6691.284110598006,6.877862894962,2.726031972666,-1.105604191707
5,98,9.492803733330,2.544584870338,9.492818458937,272.038891254147,2425.547059789240,-6691.071787183945,7.044395385867,2.261262562828,1.106946512642
6,98,10.667176073883,2.564620971680,10.667190915439,-1903.499957107739,1552.048084886645,-6685.677363501351,6.649084355609,3.231763936961,-1.142156613828
7,98,11.502059494145,2.524548768997,11.502074103802,58.981045313969,2425.019897937416,-6696.485815211260,6.860003965871,2.785385720754,1.069945019065
8,98,12.676432646345,2.594675123692,12.676447603852,-2043.690812617002,1389.922425250330,-6679.923815760746,6.383121269497,3.718428302986,-1.178455512451
9,98,14.685689914506,2.624729275703,14.685705103911,-2169.695488089752,1215.952927312502,-6674.075716451037,6.081652120474,4.183240692897,-1.214205594715
10,99,0.416375193279,2.604693174362,0.416390266735,1128.087674278790,2202.975933540061,-6678.671383614032,7.383458573208,-0.182414556404,1.187657127301
11,99,2.425632345490,2.574639022350,2.425647187047,927.229336116343,2277.985252365486,-6684.373663871735,7.382100962830,0.372028748018,1.151525904388
12,99,3.600004917942,2.544584870338,3.600019643549,-1399.982127644029,1995.360311345912,-6692.585567413130,7.263313903484,1.413184372024,-1.097490153465
13,99,4.434888802003,2.554602921009,4.434903527610,721.256860924731,2335.297955572974,-6689.952057073990,7.339003607928,0.925327718792,1.114996711272
14,99,5.609260910656,2.574639022350,5.609275752213,-1578.106538360224,1877.582153101681,-6687.000068320272,7.131549056418,1.952524654424,-1.134200472830
15,99,6.444144699723,2.534566819668,6.444159309380,511.707898141007,2374.555989480190,-6695.399125810339,7.254318469794,1.474325917244,1.078083004452
16,99,7.618517483119,2.594675123692,7.618532440625,-1745.904647542643,1744.551771091586,-6681.289001677849,6.959748287134,2.479929222467,-1.170509915883
17,99,9.627774656285,2.614711225033,9.627789729740,-1902.099993099626,1597.199339886664,-6675.460339293883,6.748978928831,2.992427572878,-1.206405029915
18,99,11.637032388244,2.644765377045,11.637047693599,-2045.471522114916,1436.576522245190,-6669.527948687989,6.500538984230,3.487137020463,-1.241838741881
19,100,0.551345863380,2.564620971680,0.551360704936,-1198.063688134773,2136.313329919573,-6688.315180362298,7.370279587529,0.606090172729,-1.126159192787
20,100,1.386229884345,2.534566819668,1.386244494002,947.638275163854,2240.233578270095,-6694.291133470797,7.400452305675,0.113313905330,1.086223965819
21,100,2.560602340847,2.584657073021,2.560617298353,-1387.602322729523,2036.982002786299,-6682.638538104573,7.298538191863,1.156217589148,-1.162538816898
22,100,4.569859377109,2.614711225033,4.569874450564,-1568.437747901517,1921.415121777821,-6676.838483641051,7.185733039163,1.698878413770,-1.198531090216
23,100,6.579116993118,2.634747326374,6.579132182524,-1739.204920892072,1790.402803077614,-6670.922783333876,7.032598116223,2.231006668012,-1.234122569487
24,101,1.521201482043,2.634747326374,1.521216671448,-1372.788077685707,2080.510292253379,-6672.299883390125,7.324339700011,0.898169969541,-1.226395037957
25,101,11.363725772593,2.624729275703,11.363740961999,213.764462232438,2481.156012520263,-6672.713333438206,6.870732719937,2.694548180346,1.222890338273
26,101,13.372983388603,2.594675123692,13.372998346109,-1.181386769492,2474.584144262308,-6678.528545874965,6.654683891349,3.204634790918,1.187098647653
27,102,6.305810377467,2.634747326374,6.305825566873,673.787584986421,2401.117329052763,-6671.521680964194,7.248010772835,1.383170501841,1.230613051928
28,102,8.315068225376,2.604693174362,8.315083298832,461.367657808016,2434.788193880835,-6677.343781396808,7.129614258294,1.924147590843,1.195043085728
29,102,10.324325377587,2.584657073021,10.324340335093,247.403045832253,2450.072935664618,-6683.061433542809,6.970728852953,2.455236339842,1.159001620249
30,102,11.498698413838,2.534566819668,11.498713023495,-1903.402727589586,1517.733681350142,-6693.556340848547,6.562882515504,3.420533773993,-1.089948563117
31,102,12.333581971005,2.554602921009,12.333596696611,33.474398658832,2446.914143517941,-6688.666137999473,6.772159798395,2.973389846888,1.122501824487
32,102,13.507954290602,2.554602921009,13.507969016209,-2040.959752719033,1354.578786123783,-6687.991641571609,6.283185274901,3.900268813477,-1.126732982914
33,102,14.342837963719,2.534566819668,14.342852573376,-178.741774949995,2425.441221733131,-6694.133743717859,6.534946530209,3.475586273764,1.085664741153
34,103,1.247894982342,2.644765377045,1.247910287697,1111.516739176332,2236.456931434158,-6670.294790626604,7.377348253215,0.024975315057,1.238425996309
35,103,3.257152946200,2.614711225033,3.257168019656,908.870048750071,2309.187577132438,-6676.160712849784,7.360621883243,0.578405524221,1.202856900049
36,103,5.266410235316,2.594675123692,5.266425192822,701.367138441949,2364.137865923205,-6681.908517252709,7.302276306795,1.129546460261,1.166903205126
37,103,6.440783482511,2.534566819668,6.440798092168,-1584.236252959230,1844.095335577778,-6694.845840628403,7.081546198220,2.153917912540,-1.081838339097
38,103,7.275667039678,2.554602921009,7.275681765284,490.509120148815,2400.967663715490,-6687.537092107350,7.202552502724,1.675268543937,1.130538271756
39,103,8.450039243326,2.564620971680,8.450054084882,-1749.654403716265,1709.574071778150,-6689.324720319088,6.894972923269,2.677039654560,-1.118633395619
